address,bathrooms,bedrooms,price,raw_text,scraped_at,square_meters,title,type,url
"Departamentos en arriendo Ronda Santo Domingo Por Greystar $ 384.746 1 a 2 dormitorios 1 a 2 baños 35 - 60 m² útiles Santo Domingo 1669, Barrio Brasil, Santiago",2,2,384,"PROYECTO Departamentos en arriendo Ronda Santo Domingo Por Greystar $ 384.746 1 a 2 dormitorios 1 a 2 baños 35 - 60 m² útiles Santo Domingo 1669, Barrio Brasil, Santiago Pronta entrega Solicitud onlin...",2025-07-27T20:41:46.830463,60,Ronda Santo Domingo,Departamento,https://portalinmobiliario.com/MLC-1520106363-ronda-santo-domingo-_JM#polycard_client=search-nordic&position=1&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Ronda Santo Domingo Por Greystar $ 384.746 1 a 2 dormitorios 1 a 2 baños 35 - 60 m² útiles Santo Domingo 1669, Barrio Brasil, Santiago",2,2,384,"PROYECTO Departamentos en arriendo Ronda Santo Domingo Por Greystar $ 384.746 1 a 2 dormitorios 1 a 2 baños 35 - 60 m² útiles Santo Domingo 1669, Barrio Brasil, Santiago Pronta entrega Solicitud onlin...",2025-07-27T20:41:46.830562,60,Ronda Santo Domingo,Departamento,https://portalinmobiliario.com/MLC-1520106363-ronda-santo-domingo-_JM#polycard_client=search-nordic&position=1&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo San Isidro 543 Por Assetplan Chile $ 330.000 1 a 2 dormitorios 1 a 2 baños 22 - 45 m² útiles San Isidro 543, Santiago",2,2,330,"PROYECTO Departamentos en arriendo San Isidro 543 Por Assetplan Chile $ 330.000 1 a 2 dormitorios 1 a 2 baños 22 - 45 m² útiles San Isidro 543, Santiago, Santa Isabel, Santiago Entrega inmediata Solic...",2025-07-27T20:41:46.830671,45,San Isidro 543,Departamento,https://portalinmobiliario.com/MLC-1573161015-san-isidro-543-_JM#polycard_client=search-nordic&position=2&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo San Isidro 543 Por Assetplan Chile $ 330.000 1 a 2 dormitorios 1 a 2 baños 22 - 45 m² útiles San Isidro 543, Santiago",2,2,330,"PROYECTO Departamentos en arriendo San Isidro 543 Por Assetplan Chile $ 330.000 1 a 2 dormitorios 1 a 2 baños 22 - 45 m² útiles San Isidro 543, Santiago, Santa Isabel, Santiago Entrega inmediata Solic...",2025-07-27T20:41:46.830765,45,San Isidro 543,Departamento,https://portalinmobiliario.com/MLC-1573161015-san-isidro-543-_JM#polycard_client=search-nordic&position=2&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Edificio Claudio Gay Por Assetplan Chile $ 307.000 1 a 2 dormitorios 1 a 2 baños 30 - 52 m² útiles Claudio Gay 2547, Barrio República, Santiago",2,2,307,"PROYECTO Departamentos en arriendo Edificio Claudio Gay Por Assetplan Chile $ 307.000 1 a 2 dormitorios 1 a 2 baños 30 - 52 m² útiles Claudio Gay 2547, Barrio República, Santiago Entrega inmediata Sol...",2025-07-27T20:41:46.830867,52,Edificio Claudio Gay,Departamento,https://portalinmobiliario.com/MLC-1464215105-edificio-claudio-gay-_JM#polycard_client=search-nordic&position=3&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Edificio Claudio Gay Por Assetplan Chile $ 307.000 1 a 2 dormitorios 1 a 2 baños 30 - 52 m² útiles Claudio Gay 2547, Barrio República, Santiago",2,2,307,"PROYECTO Departamentos en arriendo Edificio Claudio Gay Por Assetplan Chile $ 307.000 1 a 2 dormitorios 1 a 2 baños 30 - 52 m² útiles Claudio Gay 2547, Barrio República, Santiago Entrega inmediata Sol...",2025-07-27T20:41:46.830962,52,Edificio Claudio Gay,Departamento,https://portalinmobiliario.com/MLC-1464215105-edificio-claudio-gay-_JM#polycard_client=search-nordic&position=3&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Nueva Valdés Por Assetplan Chile $ 315.000 1 dormitorio 1 baño 30 m² útiles Nueva De Valdes - Nueva De Valdés 657, Santiago",1,1,315,"PROYECTO Departamentos en arriendo Nueva Valdés Por Assetplan Chile $ 315.000 1 dormitorio 1 baño 30 m² útiles Nueva De Valdes - Nueva De Valdés 657, Santiago, San Diego, Santiago Entrega inmediata So...",2025-07-27T20:41:46.831060,30,Nueva Valdés,Departamento,https://portalinmobiliario.com/MLC-2798124864-nueva-valdes-_JM#polycard_client=search-nordic&position=4&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Nueva Valdés Por Assetplan Chile $ 315.000 1 dormitorio 1 baño 30 m² útiles Nueva De Valdes - Nueva De Valdés 657, Santiago",1,1,315,"PROYECTO Departamentos en arriendo Nueva Valdés Por Assetplan Chile $ 315.000 1 dormitorio 1 baño 30 m² útiles Nueva De Valdes - Nueva De Valdés 657, Santiago, San Diego, Santiago Entrega inmediata So...",2025-07-27T20:41:46.831146,30,Nueva Valdés,Departamento,https://portalinmobiliario.com/MLC-2798124864-nueva-valdes-_JM#polycard_client=search-nordic&position=4&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Vicuña Capital Por Assetplan Chile $ 355.000 1 a 2 dormitorios 1 a 2 baños 27 - 46 m² útiles Av. Vicuña Mackenna 1441, Ñuñoa, Bogotá - Sierra Bella, Santiago",2,2,355,"PROYECTO Departamentos en arriendo Vicuña Capital Por Assetplan Chile $ 355.000 1 a 2 dormitorios 1 a 2 baños 27 - 46 m² útiles Av. Vicuña Mackenna 1441, Ñuñoa, Bogotá - Sierra Bella, Santiago Entrega...",2025-07-27T20:41:46.831241,46,Vicuña Capital,Departamento,https://portalinmobiliario.com/MLC-2851547690-vicuna-capital-_JM#polycard_client=search-nordic&position=5&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Vicuña Capital Por Assetplan Chile $ 355.000 1 a 2 dormitorios 1 a 2 baños 27 - 46 m² útiles Av. Vicuña Mackenna 1441, Ñuñoa, Bogotá - Sierra Bella, Santiago",2,2,355,"PROYECTO Departamentos en arriendo Vicuña Capital Por Assetplan Chile $ 355.000 1 a 2 dormitorios 1 a 2 baños 27 - 46 m² útiles Av. Vicuña Mackenna 1441, Ñuñoa, Bogotá - Sierra Bella, Santiago Entrega...",2025-07-27T20:41:46.831325,46,Vicuña Capital,Departamento,https://portalinmobiliario.com/MLC-2851547690-vicuna-capital-_JM#polycard_client=search-nordic&position=5&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Home Inclusive Carmen Por Assetplan Chile $ 315.000 1 a 2 dormitorios 1 a 2 baños 33 - 51 m² útiles Carmen 668, Santiago",2,2,315,"PROYECTO Departamentos en arriendo Home Inclusive Carmen Por Assetplan Chile $ 315.000 1 a 2 dormitorios 1 a 2 baños 33 - 51 m² útiles Carmen 668, Santiago, Barrio Diez De Julio, Santiago Entrega inme...",2025-07-27T20:41:46.831427,51,Home Inclusive Carmen,Departamento,https://portalinmobiliario.com/MLC-2777836572-home-inclusive-carmen-_JM#polycard_client=search-nordic&position=6&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Home Inclusive Carmen Por Assetplan Chile $ 315.000 1 a 2 dormitorios 1 a 2 baños 33 - 51 m² útiles Carmen 668, Santiago",2,2,315,"PROYECTO Departamentos en arriendo Home Inclusive Carmen Por Assetplan Chile $ 315.000 1 a 2 dormitorios 1 a 2 baños 33 - 51 m² útiles Carmen 668, Santiago, Barrio Diez De Julio, Santiago Entrega inme...",2025-07-27T20:41:46.831518,51,Home Inclusive Carmen,Departamento,https://portalinmobiliario.com/MLC-2777836572-home-inclusive-carmen-_JM#polycard_client=search-nordic&position=6&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
Santiago Por Assetplan Chile,2,2,325,"PROYECTO Departamentos en arriendo Midtown Santiago Por Assetplan Chile $ 325.000 1 a 2 dormitorios 1 a 2 baños 31 - 47 m² útiles Arturo Prat 621, Santiago, San Diego, Santiago Entrega inmediata Solic...",2025-07-27T20:41:46.831612,47,Midtown Santiago,Departamento,https://portalinmobiliario.com/MLC-2798192574-midtown-santiago-_JM#polycard_client=search-nordic&position=7&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
Santiago Por Assetplan Chile,2,2,325,"PROYECTO Departamentos en arriendo Midtown Santiago Por Assetplan Chile $ 325.000 1 a 2 dormitorios 1 a 2 baños 31 - 47 m² útiles Arturo Prat 621, Santiago, San Diego, Santiago Entrega inmediata Solic...",2025-07-27T20:41:46.831690,47,Midtown Santiago,Departamento,https://portalinmobiliario.com/MLC-2798192574-midtown-santiago-_JM#polycard_client=search-nordic&position=7&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Echaurren Por Assetplan Chile $ 348.000 1 a 2 dormitorios 1 a 2 baños 31 - 50 m² útiles Echaurren 40, Barrio República, Santiago",2,2,348,"PROYECTO Departamentos en arriendo Echaurren Por Assetplan Chile $ 348.000 1 a 2 dormitorios 1 a 2 baños 31 - 50 m² útiles Echaurren 40, Barrio República, Santiago Entrega inmediata Solicitud online d...",2025-07-27T20:41:46.831788,50,Echaurren,Departamento,https://portalinmobiliario.com/MLC-2731745426-echaurren-_JM#polycard_client=search-nordic&position=8&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Echaurren Por Assetplan Chile $ 348.000 1 a 2 dormitorios 1 a 2 baños 31 - 50 m² útiles Echaurren 40, Barrio República, Santiago",2,2,348,"PROYECTO Departamentos en arriendo Echaurren Por Assetplan Chile $ 348.000 1 a 2 dormitorios 1 a 2 baños 31 - 50 m² útiles Echaurren 40, Barrio República, Santiago Entrega inmediata Solicitud online d...",2025-07-27T20:41:46.831874,50,Echaurren,Departamento,https://portalinmobiliario.com/MLC-2731745426-echaurren-_JM#polycard_client=search-nordic&position=8&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Serrano Capital Por Assetplan Chile $ 355.000 1 dormitorio 1 baño 29 - 32 m² útiles Serrano 562, Santiago",1,1,355,"PROYECTO Departamentos en arriendo Serrano Capital Por Assetplan Chile $ 355.000 1 dormitorio 1 baño 29 - 32 m² útiles Serrano 562, Santiago, San Diego, Santiago Entrega inmediata Solicitud online de ...",2025-07-27T20:41:46.831970,32,Serrano Capital,Departamento,https://portalinmobiliario.com/MLC-1580190767-serrano-capital-_JM#polycard_client=search-nordic&position=9&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Serrano Capital Por Assetplan Chile $ 355.000 1 dormitorio 1 baño 29 - 32 m² útiles Serrano 562, Santiago",1,1,355,"PROYECTO Departamentos en arriendo Serrano Capital Por Assetplan Chile $ 355.000 1 dormitorio 1 baño 29 - 32 m² útiles Serrano 562, Santiago, San Diego, Santiago Entrega inmediata Solicitud online de ...",2025-07-27T20:41:46.832056,32,Serrano Capital,Departamento,https://portalinmobiliario.com/MLC-1580190767-serrano-capital-_JM#polycard_client=search-nordic&position=9&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Nuevo Oriente I Por Assetplan Chile $ 272.000 1 dormitorio 1 baño 29 - 31 m² útiles Sta. Elena 1486, Santiago",1,1,272,"PROYECTO Departamentos en arriendo Nuevo Oriente I Por Assetplan Chile $ 272.000 1 dormitorio 1 baño 29 - 31 m² útiles Sta. Elena 1486, Santiago, Bogotá - Sierra Bella, Santiago Entrega inmediata Soli...",2025-07-27T20:41:46.832152,31,Nuevo Oriente I,Departamento,https://portalinmobiliario.com/MLC-1554243201-nuevo-oriente-i-_JM#polycard_client=search-nordic&position=10&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Nuevo Oriente I Por Assetplan Chile $ 272.000 1 dormitorio 1 baño 29 - 31 m² útiles Sta. Elena 1486, Santiago",1,1,272,"PROYECTO Departamentos en arriendo Nuevo Oriente I Por Assetplan Chile $ 272.000 1 dormitorio 1 baño 29 - 31 m² útiles Sta. Elena 1486, Santiago, Bogotá - Sierra Bella, Santiago Entrega inmediata Soli...",2025-07-27T20:41:46.832238,31,Nuevo Oriente I,Departamento,https://portalinmobiliario.com/MLC-1554243201-nuevo-oriente-i-_JM#polycard_client=search-nordic&position=10&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Matucana Por Assetplan Chile $ 310.000 1 a 2 dormitorios 1 a 2 baños 32 - 49 m² útiles Av. Matucana 31, Santiago",2,2,310,"PROYECTO Departamentos en arriendo Matucana Por Assetplan Chile $ 310.000 1 a 2 dormitorios 1 a 2 baños 32 - 49 m² útiles Av. Matucana 31, Santiago, Barrio Yungay, Santiago Entrega inmediata Solicitud...",2025-07-27T20:41:46.832340,49,Matucana,Departamento,https://portalinmobiliario.com/MLC-1603325813-matucana-_JM#polycard_client=search-nordic&position=11&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Matucana Por Assetplan Chile $ 310.000 1 a 2 dormitorios 1 a 2 baños 32 - 49 m² útiles Av. Matucana 31, Santiago",2,2,310,"PROYECTO Departamentos en arriendo Matucana Por Assetplan Chile $ 310.000 1 a 2 dormitorios 1 a 2 baños 32 - 49 m² útiles Av. Matucana 31, Santiago, Barrio Yungay, Santiago Entrega inmediata Solicitud...",2025-07-27T20:41:46.832431,49,Matucana,Departamento,https://portalinmobiliario.com/MLC-1603325813-matucana-_JM#polycard_client=search-nordic&position=11&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Romero Por Assetplan Chile $ 330.000 1 a 2 dormitorios 1 a 2 baños 33 - 53 m² útiles Romero 2349, Santiago",2,2,330,"PROYECTO Departamentos en arriendo Romero Por Assetplan Chile $ 330.000 1 a 2 dormitorios 1 a 2 baños 33 - 53 m² útiles Romero 2349, Santiago, Barrio Yungay, Santiago Entrega inmediata Solicitud onlin...",2025-07-27T20:41:46.832531,53,Romero,Departamento,https://portalinmobiliario.com/MLC-2866464418-romero-_JM#polycard_client=search-nordic&position=12&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Romero Por Assetplan Chile $ 330.000 1 a 2 dormitorios 1 a 2 baños 33 - 53 m² útiles Romero 2349, Santiago",2,2,330,"PROYECTO Departamentos en arriendo Romero Por Assetplan Chile $ 330.000 1 a 2 dormitorios 1 a 2 baños 33 - 53 m² útiles Romero 2349, Santiago, Barrio Yungay, Santiago Entrega inmediata Solicitud onlin...",2025-07-27T20:41:46.832621,53,Romero,Departamento,https://portalinmobiliario.com/MLC-2866464418-romero-_JM#polycard_client=search-nordic&position=12&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
"Departamentos en arriendo Stage San Diego Por Assetplan Chile $ 293.000 1 a 2 dormitorios 1 a 2 baños 22 - 41 m² útiles San Diego 135, Santiago",2,2,293,"PROYECTO Departamentos en arriendo Stage San Diego Por Assetplan Chile $ 293.000 1 a 2 dormitorios 1 a 2 baños 22 - 41 m² útiles San Diego 135, Santiago, Bulnes, Santiago Entrega inmediata Solicitud o...",2025-07-27T20:41:46.832717,41,Stage San Diego,Departamento,https://portalinmobiliario.com/MLC-1607617999-stage-san-diego-_JM#polycard_client=search-nordic&position=13&search_layout=gallery&type=item&tracking_id=4bee0b40-c29a-4086-a0a9-a0d125f3a9fb
